Number_of_followers,Number_of_friend,Total_of_tweets,Contain_Picture,Contain_hashtag,Listed_count,User_mentions,Contain_url,Retweet
7795498,186,3934,0,0,1824,0,1,1
16855,1694,128252,0,0,120,1,1,1
100933,892,68425,1,0,491,0,0,1
1,30,38,0,0,0,1,0,0
6285,911,2161,0,0,26,0,1,0
3057,118,1025,0,1,20,0,1,1
7795498,186,3934,0,0,1824,0,1,1
27033,3051,31161,0,0,784,1,1,0
74018,36,96323,0,0,122,1,0,0
27370085,78,2373,0,0,22983,0,1,1
13490,392,62083,0,0,81,0,1,1
79424,142,1648,0,1,36,0,1,1
8659049,320,322164,0,0,4528,0,1,1
382,129,3748,0,0,6,0,1,0
116269,27,123561,1,1,197,0,1,1
597,319,54337,0,0,20,0,1,0
75074,166,16419,0,0,159,1,1,1
3057,118,1025,0,1,20,0,1,1
2933851,421,486502,0,0,4534,0,1,1
49874,110,7189,0,0,137,0,1,1
46147,2,219538,1,0,502,0,1,0
71410,1536,2845,0,0,1258,0,1,1
72705,5462,483216,0,1,319,0,1,1
615414,94,4386,0,1,216,0,1,1
3548,105,206,0,0,0,1,1,1
484927,3,118048,0,1,982,0,1,1
2285,67,947,0,1,0,0,1,0
474389,165,173446,0,0,1518,0,1,0
9764,1230,31105,0,1,4,0,1,1
2557,652,4646,0,1,17,0,1,1
443007,74,12118,0,1,262,0,1,1
4411,4425,37989,0,1,118,0,1,1
7795498,186,3934,0,0,1824,0,1,1
484927,3,118048,0,1,982,0,1,1
1415894,213,196223,0,1,2395,0,1,1
613805,1024,22506,0,1,313,0,1,1
615414,94,4386,0,1,216,0,1,1
67,223,4216,0,0,2,1,1,1
165640,47,50762,0,1,1038,0,1,1
13883,1040,154687,0,0,162,0,1,1
121772,20615,27541,0,0,1786,0,1,1
27370085,78,2373,0,0,22983,0,1,1
615414,94,4386,0,1,216,0,1,1
4127,201,662,0,0,34,0,1,1
1957,18,605,0,0,1,0,1,1
640790,422,19509,0,0,301,1,1,1
320488,927,81253,0,0,657,0,1,1
85354,85,6741,0,0,113,0,1,1
668,72,1257,0,0,8,0,1,1
772053,8,404,0,0,131,0,1,1
615414,94,4386,0,1,216,0,1,1
7795498,186,3934,0,0,1824,0,1,1
170257,1122,65322,0,0,2426,0,1,1
5246,9,24475,0,1,158,0,1,0
4981537,195,234661,0,0,5380,0,1,1
4611309,2508,53672,0,0,1428,1,1,1
100933,892,68425,1,0,491,0,0,1
2539751,0,302003,0,0,3353,0,1,0
180,601,4036,0,0,0,1,1,0
79473,2860,13754,0,0,229,1,1,1
1148235,479,14460,0,0,604,0,1,1
7795498,186,3934,0,0,1824,0,1,1
76111,416,83814,0,0,490,0,0,1
11691638,257,3646,0,0,2480,0,1,1
615414,94,4386,0,1,216,0,1,1
1148235,479,14460,0,0,604,0,1,1
17330,302,181676,0,0,250,0,1,1
7795498,186,3934,0,0,1824,0,1,1
15,8,2318,0,0,0,1,0,0
